,base_market,quote_market,hedge_ratio,half_life
0,SOL-USD,1INCH-USD,245.1439657496462,9.0
1,SOL-USD,LTC-USD,1.4396041998009292,15.0
2,AAVE-USD,XLM-USD,785.6145578302973,14.0
3,ETC-USD,BTC-USD,0.0005735688407811489,6.0
4,ETC-USD,1INCH-USD,61.77769011065765,9.0
5,ETC-USD,UNI-USD,4.031247983161366,10.0
6,XTZ-USD,1INCH-USD,2.4694799468630317,9.0
7,XTZ-USD,EOS-USD,1.387483287473535,7.0
8,XTZ-USD,LTC-USD,0.014506477434098466,4.0
9,BCH-USD,CRV-USD,511.84857742206475,10.0
10,BCH-USD,SUSHI-USD,219.23786191528427,8.0
11,BCH-USD,SNX-USD,74.87012945952097,13.0
12,YFI-USD,DOGE-USD,90351.48323897625,5.0
13,YFI-USD,ENJ-USD,25228.756401475744,5.0
14,YFI-USD,ATOM-USD,770.2439486093683,9.0
15,DOGE-USD,ALGO-USD,0.4939631290396715,14.0
16,DOGE-USD,MATIC-USD,0.10059912457188941,5.0
17,DOGE-USD,CRV-USD,0.17009233767110982,11.0
18,DOGE-USD,NEAR-USD,0.027621801051672598,8.0
19,DOGE-USD,DOT-USD,0.011743921053152542,13.0
20,DOGE-USD,1INCH-USD,0.1997183076313452,15.0
21,DOGE-USD,ENJ-USD,0.2792051128611246,7.0
22,DOGE-USD,SUSHI-USD,0.07285695968372499,8.0
23,DOGE-USD,SNX-USD,0.024878597286041616,20.0
24,DOGE-USD,EOS-USD,0.11222365114667024,11.0
25,DOGE-USD,ATOM-USD,0.008523678961688073,12.0
26,DOGE-USD,LTC-USD,0.0011733310423624084,7.0
27,COMP-USD,ALGO-USD,336.6396515051074,15.0
28,COMP-USD,FIL-USD,10.356189410628703,7.0
29,COMP-USD,CRV-USD,115.94180207751853,13.0
30,COMP-USD,NEAR-USD,18.828117792307303,10.0
31,COMP-USD,DOT-USD,8.0043489954399,15.0
32,COMP-USD,BTC-USD,0.001263507365477454,23.0
33,COMP-USD,1INCH-USD,136.12938507211848,17.0
34,COMP-USD,ENJ-USD,190.31333366603047,10.0
35,COMP-USD,SUSHI-USD,49.661325138546204,10.0
36,COMP-USD,ETH-USD,0.023423536739857684,3.0
37,COMP-USD,XLM-USD,485.8151605652213,15.0
38,COMP-USD,EOS-USD,76.49317155272021,14.0
39,COMP-USD,ATOM-USD,5.809250582959732,16.0
40,COMP-USD,LTC-USD,0.7997440440150927,12.0
41,ALGO-USD,NEAR-USD,0.055775574161047364,9.0
42,ALGO-USD,SNX-USD,0.05025623048204096,9.0
43,ALGO-USD,ATOM-USD,0.01722548505957655,6.0
44,FIL-USD,MATIC-USD,6.568392413630436,7.0
45,FIL-USD,TRX-USD,44.690041487794474,6.0
46,FIL-USD,CRV-USD,11.114943900874994,6.0
47,FIL-USD,NEAR-USD,1.8029408757577992,8.0
48,FIL-USD,DOT-USD,0.7666352625765716,8.0
49,FIL-USD,BTC-USD,0.00012109563881576696,7.0
50,FIL-USD,CELO-USD,7.704485988001024,6.0
51,FIL-USD,1INCH-USD,13.04130115187608,7.0
52,FIL-USD,ADA-USD,10.346264287835226,8.0
53,FIL-USD,ENJ-USD,18.229926519235185,7.0
54,FIL-USD,ZRX-USD,15.797488657318393,9.0
